answer,high_interaction,very_high_interaction,code_present,ext_ref_present,img_present,count
f,f,f,f,f,f,26133
f,f,f,f,f,t,1223
f,f,f,f,t,f,7066
f,f,f,f,t,t,10162
f,f,f,t,f,f,16600
f,f,f,t,f,t,421
f,f,f,t,t,f,6867
f,f,f,t,t,t,5792
f,f,t,f,f,f,157
f,f,t,f,f,t,19
f,f,t,f,t,f,57
f,f,t,f,t,t,157
f,f,t,t,f,f,203
f,f,t,t,f,t,12
f,f,t,t,t,f,90
f,f,t,t,t,t,146
f,t,f,f,f,f,1399
f,t,f,f,f,t,131
f,t,f,f,t,f,463
f,t,f,f,t,t,1197
f,t,f,t,f,f,1538
f,t,f,t,f,t,78
f,t,f,t,t,f,760
f,t,f,t,t,t,922
f,t,t,f,t,f,2
f,t,t,t,t,t,2
t,f,f,f,f,f,20903
t,f,f,f,f,t,972
t,f,f,f,t,f,24267
t,f,f,f,t,t,5804
t,f,f,t,f,f,21276
t,f,f,t,f,t,547
t,f,f,t,t,f,14565
t,f,f,t,t,t,5461
t,f,t,f,f,f,10
t,f,t,f,f,t,3
t,f,t,f,t,f,10
t,f,t,f,t,t,8
t,f,t,t,f,f,39
t,f,t,t,f,t,1
t,f,t,t,t,f,28
t,f,t,t,t,t,32
t,t,f,f,f,f,279
t,t,f,f,f,t,9
t,t,f,f,t,f,272
t,t,f,f,t,t,233
t,t,f,t,f,f,858
t,t,f,t,f,t,14
t,t,f,t,t,f,681
t,t,f,t,t,t,500
t,t,t,t,t,f,2
t,t,t,t,t,t,1
