year,month,questions,answers_all,answers_mods,edits,edits_mod,comments,comments_mod,up_down_votes,votes_mod,close_delete_votes,close_delete_mod,users
2017,1,1398,1447,101,6565,2100,4485,447,11117,11,388,348,1768
2017,2,1359,1494,174,4660,2014,4732,667,11095,32,351,325,1773
2017,3,1524,1633,141,5043,2039,5157,676,12477,22,365,332,2022
2017,4,1300,1308,101,3953,1664,4100,461,9277,12,325,296,1783
2017,5,1338,1405,130,4114,1615,4337,573,10368,7,361,335,1877
2017,6,1401,1444,131,5001,1753,4719,531,11649,20,278,253,1785
2017,7,1304,1412,97,4617,1861,4317,320,11328,13,323,290,1776
2017,8,1246,1354,58,4225,1667,4014,284,10525,12,281,263,1844
2017,9,1153,1240,74,3683,1663,3945,289,9247,9,249,215,1659
2017,10,1163,1253,59,3800,1593,3841,273,10011,12,205,163,1845
2017,11,1278,1357,83,4098,1874,4268,339,10239,20,243,199,1892
2017,12,1027,1203,57,3916,1361,3294,212,9768,17,195,166,1531
2018,1,1248,1334,69,4064,1659,3972,274,10065,17,215,187,1784
2018,2,1193,1211,65,3731,1907,3756,311,9017,16,269,236,1797
2018,3,1394,1427,56,3956,1365,4583,306,10502,16,206,182,2221
2018,4,1283,1337,74,3921,1188,4415,287,10306,19,207,182,2040
2018,5,1275,1375,81,3807,1583,4257,243,10178,4,256,214,1920
2018,6,1233,1247,74,3448,1353,3892,264,8407,3,238,206,1573
2018,7,1232,1236,58,3426,1557,3715,256,7940,4,171,136,1608
2018,8,1218,1376,32,3266,706,4000,125,8045,4,93,69,1678
2018,9,1008,1135,44,3464,960,3629,173,8156,5,138,110,1526
2018,10,1192,1321,56,4064,1380,3850,209,9013,3,188,150,1812
2018,11,1266,1442,57,4018,1336,4134,176,9231,6,137,106,1834
2018,12,977,1071,51,3200,1083,3287,167,7455,2,117,96,1509
2019,1,1317,1295,46,3908,1306,4439,220,8843,10,159,124,1843
2019,2,1303,1308,80,3711,1292,4512,328,9321,10,193,169,1656
2019,3,1264,1244,43,3808,1241,4102,221,9082,10,168,142,1739
2019,4,1183,1056,40,3695,1122,3937,194,8675,1,172,148,1634
2019,5,1269,1213,55,3934,1402,3954,263,8468,2,174,141,1656
2019,6,1233,1085,24,3480,1058,3623,195,7216,2,186,156,1442
2019,7,1481,1298,55,4800,1807,4259,274,8327,9,251,207,1661
2019,8,1330,1083,24,4068,1404,3736,181,7330,5,186,158,1605
2019,9,1256,1052,33,3788,1209,3570,170,6992,6,162,134,1443
2019,10,1349,1184,43,4241,1597,3949,235,8354,5,201,172,1680
2019,11,1420,1146,47,4066,1411,3945,255,8578,6,269,224,1569
2019,12,1200,1060,31,4053,1452,3642,196,7485,2,195,182,1376
2020,1,1333,1107,48,4340,1590,4039,260,8547,10,261,218,1585
2020,2,1429,1264,67,3835,829,4258,304,9570,14,116,93,1640
2020,3,1483,1196,34,3961,374,3802,211,9935,16,60,27,1726
2020,4,1527,1222,46,3425,351,3882,219,9045,2,67,33,2084
2020,5,1626,1220,41,3326,332,4175,309,8749,2,115,87,1817
