year,weekday,count,ninetyth_percentile_reaction_time_days,tenth_percentile_reaction_time_minutes
2010,1,37,10.8480208333333,7.93333333333333
2010,2,53,357.922164351852,16.95
2010,3,41,306.166180555556,8.25
2010,4,51,907.694212962963,8.05
2010,5,78,5.40695601851852,3.21666666666667
2010,6,24,3.10422453703704,39.45
2010,7,11,4.09238425925926,19.6166666666667
2011,1,294,2.89081018518519,6.76666666666667
2011,2,333,2.44614583333333,6.4
2011,3,304,1.54425925925926,5.5
2011,4,340,51.5384143518518,6.71666666666667
2011,5,260,3.49924768518519,9.15
2011,6,57,80.4394675925926,40.1333333333333
2011,7,67,8.76424768518519,8.16666666666667
2012,1,387,7.02990740740741,7.71666666666667
2012,2,396,8.33356481481482,7.65
2012,3,360,7.47958333333333,8.88333333333333
2012,4,375,11.4540393518519,6.51666666666667
2012,5,335,12.4747106481481,9.06666666666667
2012,6,99,207.923298611111,21.85
2012,7,83,34.5871180555556,38.1833333333333
2013,1,487,2.16878472222222,7.58333333333333
2013,2,544,7.77778935185185,5.83333333333333
2013,3,531,18.6162731481481,8.7
2013,4,515,11.5808912037037,5.4
2013,5,506,6.44738425925926,8.45
2013,6,138,12.9389467592593,15.8666666666667
2013,7,192,5.16027777777778,11.4166666666667
2014,1,640,2.74472222222222,6.3
2014,2,808,1.74428240740741,4.81666666666667
2014,3,757,2.17747685185185,6
2014,4,756,3.78414351851852,5.5
2014,5,619,3.74046296296296,4.95
2014,6,187,3.79413194444444,11.25
2014,7,226,2.46025462962963,6.73333333333333
2015,1,798,3.25050925925926,4.8
2015,2,892,1.89935185185185,6.26666666666667
2015,3,938,1.77392361111111,5.31666666666667
2015,4,890,3.5306712962963,4.98333333333333
2015,5,705,3.61048611111111,4.33333333333333
2015,6,254,3.50835648148148,13.0166666666667
2015,7,313,3.44403935185185,9.05
2016,1,818,2.04484953703704,3.93333333333333
2016,2,984,2.58357638888889,4.81666666666667
2016,3,993,3.75369212962963,4.48333333333333
2016,4,976,4.25853009259259,3.28333333333333
2016,5,902,3.73869212962963,4.15
2016,6,319,2.82053240740741,7.4
2016,7,274,3.34984953703704,5.95
2017,1,984,1.54206018518519,4.1
2017,2,996,1.8771412037037,4.7
2017,3,1042,1.7212037037037,4.18333333333333
2017,4,1099,1.74829861111111,3.3
2017,5,915,3.39928240740741,3.65
2017,6,314,2.68236111111111,7.75
2017,7,323,2.27359953703704,10.55
2018,1,828,1.48642361111111,5.43333333333333
2018,2,945,1.72740740740741,4.2
2018,3,903,1.35549768518519,6.13333333333333
2018,4,921,2.22063657407407,4.18333333333333
2018,5,803,3.87552083333333,5.6
2018,6,251,3.12680555555556,7.46666666666667
2018,7,226,2.65293981481481,7.66666666666667
2019,1,775,1.66118055555556,5.43333333333333
2019,2,830,1.89996527777778,5.43333333333333
2019,3,851,1.79916666666667,5.4
2019,4,873,3.84127314814815,5.15
2019,5,760,2.96868055555556,5.76666666666667
2019,6,249,2.85726851851852,9.58333333333333
2019,7,253,1.79680555555556,9.46666666666667
2020,1,288,1.65584490740741,5.21666666666667
2020,2,325,1.25164351851852,3.46666666666667
2020,3,362,1.20188657407407,5.83333333333333
2020,4,317,2.24603009259259,5.88333333333333
2020,5,320,3.76988425925926,5.86666666666667
2020,6,128,2.72082175925926,7.13333333333333
2020,7,133,1.14096064814815,6.38333333333333
