year,mod_q_share,mod_a_share,mod_e_share,mod_c_share,mod_v_share,mod_cl_share
2010,0.0254574383452665,0.139029003783102,0.163014430785676,0.113558492413118,0.0036420395421436,0.05
2011,0.0066429418742586,0.133840010305294,0.299259826442062,0.137099293882397,0.00398685187148765,0.470967741935484
2012,0.00925706147638262,0.0949267566001821,0.242212249208025,0.115651180502666,0.00427879440258342,0.716494845360825
2013,0.00589459084604716,0.0794576271186441,0.313464473461082,0.121854448611338,0.00658756944202823,0.58587786259542
2014,0.00401189735076434,0.0602227895103272,0.37651894746317,0.0876388114736526,0.00667453227709422,0.65920716112532
2015,0.00246134427264121,0.0507182320441989,0.417453450295193,0.0743844642237892,0.00346899646182127,0.806451612903226
2016,0.0049948224401535,0.0705432205216641,0.44081586100709,0.0959127964197508,0.00170050701753011,0.872211511980171
2017,0.00471241365954425,0.0728700906344411,0.329566825720014,0.0990450897303208,0.00147127087906468,0.787002718062763
2018,0.00241063434120807,0.0462222795255286,0.362045669504121,0.058770267424721,0.000914000830909846,0.590980763166194
2019,0.00153796859980775,0.0371505989731888,0.342450788848974,0.0573130821515482,0.000689158922074368,0.586454899610429
2020,0.00108137334414707,0.0392744217007822,0.183798646362098,0.0646457630482239,0.000959734764210618,0.406749555950266
