year,questions,answers,edits,comments,up_down_votes,close_delete_votes
2010,0.08114389000064553612,0.19166163141993957704,0.02908034007367226721,0.07979066179773086762,0.12097465794919001424,0.00988386459105510255
2011,0.27209347362984959008,0.46906344410876132931,0.12179238098198604268,0.31250366146575797223,0.37100416204435842362,0.03829997529033852236
2012,0.54392873281260086502,0.73009063444108761329,0.23550257231228337400,0.51280048428987092113,0.58473182744431593772,0.09587348653323449469
2013,0.74469046543154089471,0.89123867069486404834,0.36662055673852562210,0.71858462379659825421,0.67838175938820308259,0.25895725228564368668
2014,0.93325156542508553354,1.04145015105740181269,0.51802172865602511696,0.91089456931398777559,0.70019118653669129275,0.38645910551025450951
2015,1.02285197856820089084,1.09365558912386706949,0.65025878549557810970,1.01361088871096877502,0.79607556195466597430,0.55151964418087472202
2016,1.05977664450325995739,1.12120845921450151057,0.81765336731997699684,1.05159249350700072253,1.00399682142548052336,0.89720780825302693353
2017,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
2018,0.93725388935510941837,0.93728096676737160121,0.69018791090940176254,0.92737604717920678006,0.85219628484433639389,0.78354336545589325426
2019,1.00735911174230198180,0.84737160120845921450,0.73984674925006605636,0.93085199867210841844,0.77631961982989905666,0.82456140350877192982
2020,0.47756761990833387128,0.36308157099697885196,0.29394302056295559458,0.39360268702767091722,0.36070526589090565771,0.27823078823820113664
